date,Order_Time,Product_Name,Category,Quantity_Sold1,Price per Unit,Total_Sales_Amount,Region,Country,Customer Type,Discount_Applied,Profit_Loss,Payment Method,Sales_Channel
01-01-2024,23:51:00,Cakes,Bakery,2,128.25,256.5,South,Australia,Retailer,3.39,100.3,UPI,Retail Store
01-01-2024,11:05:00,Bread,Bakery,91,124.1,11293.1,North,Australia,Wholesaler,20.93,4433.52,Debit Card,Offline
01-01-2024,03:30:00,Coffee,Beverages,18,81.59,1468.62,South,India,Online,4.58,385.92,Credit Card,Offline
01-01-2024,13:56:00,Bread,Bakery,55,93.47,5140.85,East,India,Wholesaler,15.8,1073.05,PayPal,Wholesale
01-01-2024,09:37:00,Cookies,Bakery,64,97.21,6221.44,West,Germany,Online,12.59,1751.04,Credit Card,Online
01-01-2024,12:08:00,Protein Bars,Snacks,18,101.79,1832.22,West,Germany,Wholesaler,12.29,306.36,Cash,Offline
01-01-2024,03:54:00,Cookies,Bakery,76,73.25,5567,West,Australia,Online,21.39,2207.04,Credit Card,Online
01-01-2024,05:54:00,Nuts,Snacks,22,31.5,693,North,Canada,Online,0.19,93.28,UPI,Offline
01-01-2024,04:00:00,Cakes,Bakery,20,104.21,2084.2,West,USA,Wholesaler,1.25,319.4,UPI,Wholesale
01-01-2024,14:02:00,Coffee,Beverages,57,95.05,5417.85,East,Australia,Wholesaler,14.46,1890.12,Credit Card,Offline
01-01-2024,21:49:00,Milk,Dairy,69,58.47,4034.43,South,Germany,Retailer,5.84,921.84,Credit Card,Retail Store
01-01-2024,19:15:00,Milk,Dairy,82,123.01,10086.82,North,USA,Wholesaler,25.54,3040.56,Credit Card,Online
01-01-2024,14:38:00,Soft Drink,Beverages,72,53.85,3877.2,West,Canada,Retailer,16,1020.96,PayPal,Online
01-01-2024,17:21:00,Butter,Dairy,65,110.53,7184.45,West,Australia,Online,6.08,2471.95,UPI,Online
01-01-2024,18:05:00,Chips,Snacks,12,34.46,413.52,East,India,Online,8.69,56.64,Credit Card,Retail Store
01-01-2024,18:59:00,Coffee,Beverages,35,63.23,2213.05,North,India,Wholesaler,13.76,250.6,Cash,Offline
